"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2024
A.  WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2024","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","127","156","214","122","136","825","1,428","1,391","603","398","697","222","6,319","0.7%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","221","213","350","206","383","329","391","576","484","404","354","292","4,203","0.5%",""
"","","CC > 3.001 (G)/2.501 (D)","-","-","1","-","1","2","-","1","-","-","2","-","7","0.0%",""
"","SUB TOTAL","","348","369","565","328","520","1,156","1,819","1,968","1,087","802","1,053","514","10,529","1.2%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","29,308","30,407","29,900","20,269","29,715","29,957","28,147","30,461","29,393","32,186","31,317","34,530","355,590","41.1%",""
"","","1.501 < CC < 2.500 (G/D)","7,474","7,032","7,882","5,382","7,926","7,927","9,798","9,847","8,982","9,151","9,863","8,794","100,058","11.6%",""
"","","2.501 < CC < 3.000 (G)","-","-","-","-","-","-","-","-","7","37","1","30","75","0.0%",""
"","","CC > 3.001 (G)/2.501 (D)","1,198","1,127","1,675","330","1,391","1,596","1,195","490","1,945","1,236","1,411","1,165","14,759","1.7%",""
"","SUB TOTAL","","37,980","38,566","39,457","25,981","39,032","39,480","39,140","40,798","40,327","42,610","42,592","44,519","470,482","54.3%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","37","299","379","201","131","156","116","124","348","344","312","460","2,907","0.3%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","547","505","580","503","552","516","707","729","922","1,065","1,003","1,129","8,758","1.0%",""
"","","CC > 3.001 (G)/2.500 (D)","344","248","198","267","250","254","238","221","381","272","422","449","3,544","0.4%",""
"","SUB TOTAL","","928","1,052","1,157","971","933","926","1,061","1,074","1,651","1,681","1,737","2,038","15,209","1.8%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","224","288","334","310","270","366","297","308","336","438","298","251","3,720","0.4%",""
"","","GVW         10 - 24       Ton (G/D)","141","162","200","87","154","167","133","273","88","74","100","268","1,847","0.2%",""
"","","GVW           > 24         Ton (G/D)","11","5","7","1","5","4","-","15","6","12","5","3","74","0.0%",""
"","SUB TOTAL","","376","455","541","398","429","537","430","596","430","524","403","522","5,641","0.7%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","8,125","7,307","9,565","5,688","8,866","8,818","9,302","8,580","7,794","9,263","8,456","9,808","101,572","11.7%",""
"6 .","TRUCK","GVW          5 - 10        Ton (G/D)","3,282","3,575","3,376","2,820","3,798","3,870","3,905","3,424","3,402","3,613","3,446","4,034","42,545","4.9%",""
"","","GVW         10 - 24       Ton (G/D)","389","358","313","255","370","527","391","471","448","509","365","580","4,976","0.6%",""
"","","GVW           > 24         Ton (G/D)","1,168","1,154","1,472","1,085","1,604","1,685","1,870","1,881","1,671","1,741","2,115","2,048","19,494","2.3%",""
"","SUB TOTAL","","4,839","5,087","5,161","4,160","5,772","6,082","6,166","5,776","5,521","5,863","5,926","6,662","67,015","7.7%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","326","1,557","1,434","1,495","1,246","2,364","1,503","1,817","1,625","1,896","1,949","1,297","18,509","2.1%",""
"","SUB TOTAL","","326","1,557","1,434","1,495","1,246","2,364","1,503","1,817","1,625","1,896","1,949","1,297","18,509","2.1%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","16,836","16,379","16,840","9,743","14,593","15,252","14,809","15,693","14,673","14,765","12,737","14,446","176,766","20.4%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","16,836","16,379","16,840","9,743","14,593","15,252","14,809","15,693","14,673","14,765","12,737","14,446","176,766","20%",""
"","","","","","","","","","","","","","","","","",""
"MARKET TOTAL","","","69,758","70,772","74,720","48,764","71,391","74,615","74,230","76,302","73,108","77,404","74,853","79,806","865,723","100%",""
"CUMMULATIVE","","","69,758","140,530","215,250","264,014","335,405","410,020","484,250","560,552","633,660","711,064","785,917","865,723","","",""
"B.  RETAIL SALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","RETAIL
2024","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","163","144","300","181","130","141","1,010","1,577","665","648","698","531","6,188","0.7%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","310","301","397","208","291","352","419","491","448","352","279","290","4,138","0.5%",""
"","","CC > 3.001 (G)/2.501 (D)","1","1","2","-","1","1","2","3","-","1","2","-","14","0.0%",""
"","SUB TOTAL","","474","446","699","389","422","494","1,431","2,071","1,113","1,001","979","821","10,340","1.2%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","33,711","30,252","36,078","23,810","29,757","30,315","31,462","32,055","29,239","29,746","32,098","35,195","373,718","42.0%",""
"","","1.501 < CC < 2.500 (G/D)","8,330","8,181","9,251","6,464","7,711","7,953","9,138","8,747","9,227","8,629","9,026","8,484","101,141","11.4%",""
"","","2.501 < CC < 3.000 (G)","-","-","-","-","-","-","-","-","3","23","14","14","54","0.0%",""
"","","CC > 3.001 (G)/2.501 (D)","1,703","1,160","1,574","1,051","1,225","1,191","1,281","1,153","1,278","1,380","1,307","1,355","15,658","1.8%",""
"","SUB TOTAL","","43,744","39,593","46,903","31,325","38,693","39,459","41,881","41,955","39,747","39,778","42,445","45,048","490,571","55.1%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","40","216","376","195","180","178","172","189","356","356","302","288","2,848","0.3%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","516","533","620","451","562","498","606","671","950","963","896","1,086","8,352","0.9%",""
"","","CC > 3.001 (G)/2.500 (D)","409","309","217","275","273","267","296","180","302","281","324","351","3,484","0.4%",""
"","SUB TOTAL","","965","1,058","1,213","921","1,015","943","1,074","1,040","1,608","1,600","1,522","1,725","14,684","1.7%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","394","297","299","226","270","328","330","367","384","391","317","457","4,060","0.5%",""
"","","GVW         10 - 24       Ton (G/D)","181","167","219","96","95","132","172","169","142","213","177","244","2,007","0.2%",""
"","","GVW           > 24         Ton (G/D)","11","5","6","1","5","3","-","5","6","7","7","10","66","0.0%",""
"","SUB TOTAL","","586","469","524","323","370","463","502","541","532","611","501","711","6,133","0.7%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","9,224","7,942","8,831","7,233","9,358","8,121","8,688","8,560","8,110","8,964","8,923","9,939","103,893","11.7%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","3,806","3,403","3,476","3,005","3,601","3,600","3,630","3,641","3,484","3,632","3,722","4,390","43,390","4.9%",""
"","","GVW         10 - 24       Ton (G/D)","375","325","346","283","330","409","443","398","409","428","480","663","4,889","0.5%",""
"","","GVW           > 24         Ton (G/D)","1,310","1,154","1,454","805","1,415","1,413","1,847","1,687","1,716","1,857","1,593","2,040","18,291","2.1%",""
"","SUB TOTAL","","5,491","4,882","5,276","4,093","5,346","5,422","5,920","5,726","5,609","5,917","5,795","7,093","66,570","7.5%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","1,042","1,191","1,516","1,245","1,617","2,019","1,583","1,289","1,726","1,811","2,160","1,564","18,763","2.1%",""
"","SUB TOTAL","","1,042","1,191","1,516","1,245","1,617","2,019","1,583","1,289","1,726","1,811","2,160","1,564","18,763","2.1%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","16,911","14,839","17,208","13,361","15,425","13,369","14,509","15,624","14,156","13,983","14,148","15,193","178,726","20.1%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","16,911","14,839","17,208","13,361","15,425","13,369","14,509","15,624","14,156","13,983","14,148","15,193","178,726","20.1%",""
"","","","","","","","","","","","","","","","","",""
"RETAIL TOTAL","","","78,437","70,420","82,170","58,890","72,246","70,290","75,588","76,806","72,601","73,665","76,473","82,094","889,680","100%",""
"CUMMULATIVE","","","78,437","148,857","231,027","289,917","362,163","432,453","508,041","584,847","657,448","731,113","807,586","889,680","","",""
"C.  PRODUCTION","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","PROD
2024","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","41","90","11","26","23","54","66","26","22","27","59","29","474","0.0%",""
