"A.  WHOLESALES","","","","WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN JUL 2025","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","","MARKET
2025","SHARE
%",""
"","","","JAN","","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","307","","141","395","201","270","91","158","-","-","-","-","-","1,563","0.4%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","50","","146","152","93","213","121","142","-","-","-","-","-","917","0.2%",""
"","","CC > 3.001 (G)/2.501 (D)","-","","-","-","1","1","-","-","-","-","-","-","-","2","0.0%",""
"","SUB TOTAL","","357","","287","547","295","484","212","300","-","-","-","-","-","2,482","0.6%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","25,352","","30,591","32,708","21,272","26,845","26,494","27,420","-","-","-","-","-","190,682","43.8%",""
"","","1.501 < CC < 2.500 (G/D)","7,595","","8,752","7,791","6,004","7,006","6,289","5,868","-","-","-","-","-","49,305","11.3%",""
"","","2.501 < CC < 3.000 (G)","42","","35","28","24","31","22","23","-","-","-","-","-","205","0.0%",""
"","","CC > 3.001 (G)/2.501 (D)","1,079","","1,293","1,161","1,496","1,443","1,380","1,072","-","-","-","-","-","8,924","2.0%",""
"","SUB TOTAL","","34,068","","40,671","41,688","28,796","35,325","34,185","34,383","-","-","-","-","-","249,116","57.2%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","481","","945","1,371","1,319","871","673","946","-","-","-","-","-","6,606","1.5%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","776","","848","967","597","611","607","613","-","-","-","-","-","5,019","1.2%",""
"","","CC > 3.001 (G)/2.500 (D)","263","","269","237","242","339","386","430","-","-","-","-","-","2,166","0.5%",""
"","SUB TOTAL","","1,520","","2,062","2,575","2,158","1,821","1,666","1,989","-","-","-","-","-","13,791","3.2%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","308","","284","302","228","214","256","221","-","-","-","-","-","1,813","0.4%",""
"","","GVW         10 - 24       Ton (G/D)","105","","114","104","94","100","113","103","-","-","-","-","-","733","0.2%",""
"","","GVW           > 24         Ton (G/D)","5","","8","10","4","2","-","7","-","-","-","-","-","36","0.0%",""
"","SUB TOTAL","","418","","406","416","326","316","369","331","-","-","-","-","-","2,582","0.6%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","7,655","","7,841","6,996","5,521","8,522","7,113","8,502","-","-","-","-","-","52,150","12.0%",""
"6 .","TRUCK","GVW          5 - 10        Ton (G/D)","3,195","","3,141","2,535","2,215","2,890","3,269","3,014","-","-","-","-","-","20,259","4.7%",""
"","","GVW         10 - 24       Ton (G/D)","367","","374","216","272","345","373","413","-","-","-","-","-","2,360","0.5%",""
"","","GVW           > 24         Ton (G/D)","1,088","","1,254","977","895","1,191","1,181","951","-","-","-","-","-","7,537","1.7%",""
"","SUB TOTAL","","4,650","","4,769","3,728","3,382","4,426","4,823","4,378","-","-","-","-","-","30,156","6.9%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","963","","2,690","2,240","1,643","1,176","1,669","1,746","-","-","-","-","-","12,127","2.8%",""
"","SUB TOTAL","","963","","2,690","2,240","1,643","1,176","1,669","1,746","-","-","-","-","-","12,127","2.8%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","12,324","","13,618","12,726","9,087","8,546","7,762","8,923","-","-","-","-","-","72,986","16.8%",""
"","","CC ≤ 1500 (D)","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","12,324","","13,618","12,726","9,087","8,546","7,762","8,923","-","-","-","-","-","72,986","17%",""
"","","","","","","","","","","","","","","","","","",""
"MARKET TOTAL","","","61,955","","72,344","70,916","51,208","60,616","57,799","60,552","-","-","-","-","-","435,390","100%",""
"CUMMULATIVE","","","61,955","","134,299","205,215","256,423","317,039","374,838","435,390","","","","","","","",""
"B.  RETAIL SALES","","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","","RETAIL
2025","SHARE
%",""
"","","","JAN","","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","283","","243","398","199","264","245","254","-","-","-","-","-","1,886","0.4%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","172","","224","220","112","158","165","160","-","-","-","-","-","1,211","0.3%",""
"","","CC > 3.001 (G)/2.501 (D)","-","","-","-","1","1","-","-","-","-","-","-","-","2","0.0%",""
"","SUB TOTAL","","455","","467","618","312","423","410","414","-","-","-","-","-","3,099","0.7%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","27,097","","28,581","34,152","25,036","25,356","26,260","26,677","-","-","-","-","-","193,159","42.6%",""
"","","1.501 < CC < 2.500 (G/D)","7,211","","8,260","8,935","6,230","6,902","6,919","6,694","-","-","-","-","-","51,151","11.3%",""
"","","2.501 < CC < 3.000 (G)","22","","31","35","27","25","30","16","-","-","-","-","-","186","0.0%",""
