"BY CATEGORY JAN-DEC 2018
WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2018","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","337","378","242","343","240","200","251","161","274","198","289","324","3,237","0.3%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","233","312","261","435","546","271","279","266","204","155","213","98","3,273","0.3%",""
"","","CC > 3.001 (G)/2.501 (D)","4","46","31","22","27","8","3","7","7","13","12","14","194","0.0%",""
"","SUB TOTAL","","574","736","534","800","813","479","533","434","485","366","514","436","6,704","0.6%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","41,694","38,919","43,339","43,987","44,990","23,899","46,966","46,049","40,893","45,638","40,876","37,108","494,358","42.9%",""
"","","1.501 < CC < 2.500 (G/D)","9,700","12,353","13,666","11,492","12,370","6,639","13,254","13,186","11,327","12,447","11,949","10,529","138,912","12.1%",""
"","","2.501 < CC < 3.000 (G)","101","66","62","23","41","59","170","178","69","51","97","116","1,033","0.1%",""
"","","CC > 3.001 (G)/2.501 (D)","-","-","-","17","27","6","9","9","4","2","-","3","77","0.0%",""
"","SUB TOTAL","","51,495","51,338","57,067","55,519","57,428","30,603","60,399","59,422","52,293","58,138","52,922","47,756","634,380","55.1%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","8","1","2","37","1","2","2","-","-","1","1","-","55","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","226","130","138","171","180","57","187","188","205","225","177","127","2,011","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","51","115","95","85","84","87","135","70","87","98","79","98","1,084","0.1%",""
"","SUB TOTAL","","285","246","235","293","265","146","324","258","292","324","257","225","3,150","0.3%",""
"04","BUS","GVW         5 - 10       Ton (G/D)","151","129","176","208","255","100","193","297","153","200","142","121","2,125","0.2%",""
"","","GVW        10 - 24      Ton (G/D)","265","89","135","60","77","119","108","103","73","88","151","104","1,372","0.1%",""
"","","GVW          > 24        Ton (G/D)","1","6","4","-","-","-","1","2","4","4","-","-","22","0.0%",""
"","SUB TOTAL","","417","224","315","268","332","219","302","402","230","292","293","225","3,519","0.3%",""
"05","PICK UP","GVW           < 5         Ton (G/D)","13,011","12,501","12,361","11,133","9,511","7,657","13,259","13,221","12,929","13,519","14,195","10,176","143,473","12.5%",""
"6 .","TRUCK","GVW         5 - 10       Ton (G/D)","5,878","6,095","7,111","7,497","5,707","4,486","6,937","6,415","7,265","6,846","6,514","6,059","76,810","6.7%",""
"","","GVW        10 - 24      Ton (G/D)","476","558","556","535","537","398","644","671","752","768","736","643","7,274","0.6%",""
"","","GVW          > 24        Ton (G/D)","1,966","2,301","2,653","2,726","2,567","1,628","2,844","2,433","2,533","2,510","2,749","2,915","29,825","2.6%",""
"","SUB TOTAL","","8,320","8,954","10,320","10,758","8,811","6,512","10,425","9,519","10,550","10,124","9,999","9,617","113,909","9.9%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW           < 5         Ton (G/D)
For all CC","1,366","1,592","1,465","1,336","1,363","1,001","1,291","1,418","1,310","1,340","1,186","1,062","15,730","1.4%",""
"","SUB TOTAL","","1,366","1,592","1,465","1,336","1,363","1,001","1,291","1,418","1,310","1,340","1,186","1,062","15,730","1.4%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","20,387","18,683","19,503","22,271","22,007","12,225","20,941","17,517","15,222","21,977","21,361","18,349","230,443","20.0%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","20,387","18,683","19,503","22,271","22,007","12,225","20,941","17,517","15,222","21,977","21,361","18,349","230,443","20%",""
"","","","","","","","","","","","","","","","","",""
"MARKET TOTAL","","","95,855","94,274","101,800","102,378","100,530","58,842","107,474","102,191","93,311","106,080","100,727","87,846","1,151,308","100%",""
"CUMMULATIVE","","","95,855","190,129","291,929","394,307","494,837","553,679","661,153","763,344","856,655","962,735","1,063,462","1,151,308","","",""
"RETAIL SALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","RETAIL
2018","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","255","588","417","634","287","174","245","470","282","242","273","345","4,212","0.4%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","236","328","247","423","392","406","226","249","247","286","208","140","3,388","0.3%",""
"","","CC > 3.001 (G)/2.501 (D)","1","32","29","21","30","5","4","10","10","17","12","15","186","0.0%",""
"","SUB TOTAL","","492","948","693","1,078","709","585","475","729","539","545","493","500","7,786","0.7%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","42,597","39,569","49,422","39,436","46,496","31,139","44,448","43,885","39,905","39,521","40,974","45,850","503,242","43.7%",""
"","","1.501 < CC < 2.500 (G/D)","10,571","11,700","12,909","12,419","13,129","8,561","11,020","12,101","10,852","10,718","11,416","12,060","137,456","11.9%",""
"","","2.501 < CC < 3.000 (G)","163","123","112","95","78","50","122","99","104","85","89","147","1,267","0.1%",""
"","","CC > 3.001 (G)/2.501 (D)","-","-","-","-","-","-","-","-","-","-","2","4","6","0.0%",""
"","SUB TOTAL","","53,331","51,392","62,443","51,950","59,703","39,750","55,590","56,085","50,861","50,324","52,481","58,061","641,971","55.7%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","58","7","8","3","5","3","3","3","2","6","4","3","105","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","192","173","170","113","168","85","136","226","203","233","220","149","2,068","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","76","82","95","106","99","68","81","81","102","94","118","67","1,069","0.1%",""
"","SUB TOTAL","","326","262","273","222","272","156","220","310","307","333","342","219","3,242","0.3%",""
"04","BUS","GVW         5 - 10       Ton (G/D)","141","124","163","222","234","133","137","289","199","149","203","201","2,195","0.2%",""
"","","GVW        10 - 24      Ton (G/D)","245","112","112","85","97","40","135","117","78","124","135","137","1,417","0.1%",""
"","","GVW          > 24        Ton (G/D)","1","6","4","-","-","-","1","2","4","4","-","-","22","0.0%",""
"","SUB TOTAL","","387","242","279","307","331","173","273","408","281","277","338","338","3,634","0.3%",""
