"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2020
WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2020","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","55","176","144","46","35","76","56","85","82","132","102","117","1,106","0.2%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","278","500","534","95","56","159","358","303","225","325","437","418","3,688","0.7%",""
"","","CC > 3.001 (G)/2.501 (D)","7","4","3","1","1","9","4","11","6","2","3","11","62","0.0%",""
"","SUB TOTAL","","340","680","681","142","92","244","418","399","313","459","542","546","4,856","0.9%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","36,118","33,341","33,276","2,848","1,163","3,331","6,615","17,014","17,377","17,783","20,519","23,843","213,228","40.0%",""
"","","1.501 < CC < 2.500 (G/D)","7,292","9,708","8,861","1,185","531","2,126","5,037","5,041","2,633","4,871","6,618","7,347","61,250","11.5%",""
"","","2.501 < CC < 3.000 (G)","100","252","211","43","11","66","111","129","38","84","83","95","1,223","0.2%",""
"","","CC > 3.001 (G)/2.501 (D)","1","3","35","4","-","47","70","39","35","40","40","19","333","0.1%",""
"","SUB TOTAL","","43,511","43,304","42,383","4,080","1,705","5,570","11,833","22,223","20,083","22,778","27,260","31,304","276,034","51.8%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","97","49","86","135","115","41","27","56","44","58","142","149","999","0.2%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","172","243","173","57","83","98","169","131","185","278","276","325","2,190","0.4%",""
"","","CC > 3.001 (G)/2.500 (D)","41","100","92","39","16","44","42","66","59","16","7","15","537","0.1%",""
"","SUB TOTAL","","310","392","351","231","214","183","238","253","288","352","425","489","3,726","0.7%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","154","203","199","66","80","107","55","106","81","109","42","36","1,238","0.2%",""
"","","GVW         10 - 24       Ton (G/D)","211","240","77","1","1","2","33","36","40","23","4","41","709","0.1%",""
"","","GVW           > 24         Ton (G/D)","2","7","2","-","1","2","-","-","-","-","2","8","24","0.0%",""
"","SUB TOTAL","","367","450","278","67","82","111","88","142","121","132","48","85","1,971","0.4%",""
"05","PICK UP","GVW             < 5          Ton (G/D)","12,192","11,452","9,030","975","469","2,929","6,972","4,302","9,524","9,603","12,354","10,931","90,733","17.0%",""
"6 .","TRUCK","GVW          5 - 10        Ton (G/D)","4,794","4,786","3,678","475","398","1,129","1,759","2,416","3,227","2,798","3,901","4,051","33,412","6.3%",""
"","","GVW         10 - 24       Ton (G/D)","469","454","340","60","34","106","116","160","248","190","253","331","2,761","0.5%",""
"","","GVW           > 24         Ton (G/D)","748","976","672","206","96","286","468","539","445","483","829","759","6,507","1.2%",""
"","SUB TOTAL","","6,011","6,216","4,690","741","528","1,521","2,343","3,115","3,920","3,471","4,983","5,141","42,680","8.0%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW             < 5          Ton (G/D)
For all CC","648","1,028","891","200","307","610","648","362","476","984","978","625","7,757","1.5%",""
"","SUB TOTAL","","648","1,028","891","200","307","610","648","362","476","984","978","625","7,757","1.5%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","17,056","16,122","18,507","1,432","154","1,455","2,745","6,481","13,829","11,239","7,244","8,386","104,650","19.7%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","17,056","16,122","18,507","1,432","154","1,455","2,745","6,481","13,829","11,239","7,244","8,386","104,650","20%",""
"","","","","","","","","","","","","","","","","",""
"MARKET TOTAL","","","80,435","79,644","76,811","7,868","3,551","12,623","25,285","37,277","48,554","49,018","53,834","57,507","532,407","100%",""
"CUMMULATIVE","","","80,435","160,079","236,890","244,758","248,309","260,932","286,217","323,494","372,048","421,066","474,900","532,407","","",""
"RETAIL SALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","RETAIL
2020","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","117","124","125","66","52","103","109","91","100","93","92","149","1,221","0.2%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","284","467","355","161","137","252","243","383","299","318","456","492","3,847","0.7%",""
"","","CC > 3.001 (G)/2.501 (D)","10","5","2","3","1","7","4","8","5","9","2","7","63","0.0%",""
