"NO.","BRAND","MONTH","","","","","","","","","","","","SALES
2024","SHARE
%",""
"","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"1","TOYOTA","20,988","23,525","21,072","15,201","23,482","25,464","27,126","25,989","25,454","27,030","26,984","26,667","288,982","33.4%",""
"2","DAIHATSU","14,363","15,088","16,552","9,481","14,983","14,967","13,910","13,829","12,676","14,096","10,030","13,057","163,032","18.8%",""
"3","HONDA","8,413","9,081","10,572","4,611","7,294","7,618","6,249","7,556","7,926","8,633","8,397","8,392","94,742","10.9%",""
"4","MITSUBISHI MOTORS","6,962","5,994","6,153","4,006","6,975","6,470","5,569","6,254","5,824","5,486","6,050","6,474","72,217","8.3%",""
"5","SUZUKI","6,138","4,993","6,670","4,986","5,762","4,584","5,410","5,265","5,183","5,491","5,605","6,722","66,809","7.7%",""
"6","MITSUBISHI FUSO","2,034","2,250","2,311","1,987","2,411","2,230","2,240","2,276","2,341","2,414","2,294","2,933","27,721","3.2%",""
"7","ISUZU","2,350","2,245","2,251","1,849","2,265","3,073","2,371","2,002","1,670","2,106","2,040","2,157","26,379","3.0%",""
"8","HINO","1,404","1,483","1,651","1,319","1,848","2,030","2,370","2,318","2,251","2,320","2,530","2,634","24,158","2.8%",""
"9","HYUNDAI - HMID","3,003","2,428","1,812","1,485","1,408","1,908","1,701","1,823","1,596","1,711","1,653","1,833","22,361","2.6%",""
"10","WULING","2,177","1,200","2,080","1,188","909","964","1,526","1,866","2,004","2,203","2,550","3,256","21,923","2.5%",""
"11","BYD","-","-","-","-","-","1,596","1,925","2,940","2,075","2,488","2,842","1,563","15,429","1.8%",""
"12","CHERY","299","431","803","590","968","848","780","798","673","699","853","1,449","9,191","1.1%",""
"13","B M W","223","218","320","223","400","399","432","439","431","506","531","552","4,674","0.5%",""
"14","MAZDA","223","302","479","391","381","343","403","524","401","300","364","266","4,377","0.5%",""
"15","MORRIS GARAGE","117","228","340","359","438","468","601","504","388","227","176","128","3,974","0.5%",""
"16","LEXUS","123","207","353","247","415","188","184","194","137","181","199","156","2,584","0.3%",""
"17","MERCEDES-BENZ PC","115","177","270","175","215","159","168","301","222","160","88","155","2,205","0.3%",""
"18","UD TRUCKS","148","167","147","126","179","208","186","181","159","183","155","121","1,960","0.2%",""
"19","MERCEDES-BENZ CV","51","88","142","25","116","151","79","261","116","132","159","231","1,551","0.2%",""
"20","NISSAN","76","131","147","82","62","53","35","132","167","125","134","233","1,377","0.2%",""
"21","CITROEN","30","41","50","15","197","286","111","112","120","116","126","120","1,324","0.2%",""
"22","AION","-","-","-","-","-","-","-","-","464","178","514","84","1,240","0.1%",""
"23","K I A","105","100","178","96","107","109","112","60","93","52","20","18","1,050","0.1%",""
