"NO.","BRAND","MONTH","","","","","","","","","","","","SALES
2025","SHARE
%",""
"","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"1","TOYOTA","22,082","24,397","22,476","16,077","20,995","17,819","18,905","-","-","-","-","-","142,751","32.8%",""
"2","DAIHATSU","9,983","11,959","13,057","8,884","11,166","9,356","10,451","-","-","-","-","-","74,856","17.2%",""
"3","HONDA","7,276","8,757","6,303","3,000","3,166","4,179","5,235","-","-","-","-","-","37,916","8.7%",""
"4","MITSUBISHI MOTORS","5,028","6,684","5,769","3,791","4,756","5,053","5,011","-","-","-","-","-","36,092","8.3%",""
"5","SUZUKI","4,982","4,750","4,442","4,145","3,921","4,940","6,010","-","-","-","-","-","33,190","7.6%",""
"6","BYD","1,114","1,399","3,205","3,496","2,799","2,079","2,335","-","-","-","-","-","16,427","3.8%",""
"7","ISUZU","2,206","1,903","1,802","1,635","1,904","1,825","2,190","-","-","-","-","-","13,465","3.1%",""
"8","MITSUBISHI FUSO","2,105","2,106","1,604","1,404","1,967","2,256","1,871","-","-","-","-","-","13,313","3.1%",""
"9","HYUNDAI - HMID","2,308","2,226","2,424","1,607","1,650","973","1,239","-","-","-","-","-","12,427","2.9%",""
"10","CHERY","1,102","1,468","1,829","1,620","1,993","2,271","1,593","-","-","-","-","-","11,876","2.7%",""
"11","HINO","1,285","1,567","1,193","1,085","1,537","1,535","1,464","-","-","-","-","-","9,666","2.2%",""
"12","WULING","1,010","1,935","1,850","1,240","1,566","657","1,256","-","-","-","-","-","9,514","2.2%",""
"13","DENZA","25","912","1,587","811","630","1,768","523","-","-","-","-","-","6,256","1.4%",""
"14","AION","83","159","959","362","282","860","421","-","-","-","-","-","3,126","0.7%",""
"15","MAZDA","180","206","281","195","286","258","271","-","-","-","-","-","1,677","0.4%",""
"16","GEELY","-","66","176","424","377","216","249","-","-","-","-","-","1,508","0.3%",""
"17","UD TRUCKS","210","178","218","189","169","146","125","-","-","-","-","-","1,235","0.3%",""
"18","LEXUS","50","109","182","191","246","218","101","-","-","-","-","-","1,097","0.3%",""
"19","MORRIS GARAGE","144","227","174","113","136","145","151","-","-","-","-","-","1,090","0.3%",""
"20","CITROEN","101","153","173","90","102","97","123","-","-","-","-","-","839","0.2%",""
