"BY BRAND JAN-DEC 2022
A.  WHOLESALES",,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2022","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,22886,24865,33344,27779,13297,27290,29326,30844,33449,33740,26462,28128,331410,31.6%
2,DAIHATSU,18319,15036,17465,15617,6981,16925,15935,15339,18781,17489,20963,23815,202665,19.3%
3,HONDA,10883,11407,12975,10149,8114,9057,9599,11427,13374,9962,11691,12642,131280,12.5%
4,MITSUBISHI MOTORS,12135,10018,11501,7528,5414,4700,8023,9700,6056,6108,7056,10812,99051,9.5%
5,SUZUKI,7017,6750,8604,5801,6026,7215,7467,8064,7651,7663,8160,9990,90408,8.6%
6,MITSUBISHI FUSO,2432,2290,1788,4799,1307,3183,3731,4105,3401,3075,3638,3837,37586,3.6%
7,ISUZU,2828,2800,3420,2854,2740,2594,3239,3463,3450,3262,3091,2905,36646,3.5%
8,HYUNDAI - HMID,1220,2400,2150,2175,1532,1805,2262,5700,5126,3505,2000,2090,31965,3%
9,HINO,2022,1764,2336,1533,1871,2900,2832,2961,3136,3031,3206,3261,30853,2.9%
10,WULING,2501,2008,2500,2201,815,1236,1506,2821,3000,2955,3094,5352,29989,2.9%
11,MAZDA,208,58,110,627,245,314,340,362,348,454,404,418,3888,0.4%
12,MERCEDES-BENZ PC,141,123,255,236,214,227,368,380,338,289,310,354,3235,0.3%
13,MERCEDES-BENZ CV,133,242,389,315,111,276,154,150,355,257,225,435,3042,0.3%
14,B M W,178,178,257,293,190,288,310,302,273,220,168,235,2892,0.3%
15,NISSAN,313,340,338,158,116,160,148,191,137,186,162,164,2413,0.2%
16,DFSK,202,101,286,75,188,292,333,273,128,101,121,313,2413,0.2%
17,K I A,113,67,135,191,134,91,196,290,324,389,53,103,2086,0.2%
18,UD TRUCKS,225,219,248,89,139,69,36,161,221,217,214,155,1993,0.2%
19,LEXUS,-,71,170,113,115,84,104,65,81,87,51,92,1033,0.1%
20,MORRIS GARAGE,212,108,2,25,33,58,114,107,112,22,63,118,974,0.1%
21,MINI,46,51,87,53,50,56,52,69,79,46,68,43,700,0.1%
22,PEUGEOT,50,32,65,46,46,34,40,35,40,31,14,18,451,0%
23,VOLKSWAGEN,35,21,62,20,23,29,55,55,23,50,10,20,403,0%
24,SUBARU,-,-,-,-,-,-,30,50,50,26,27,31,214,0%
25,TATA,25,5,28,42,-,3,26,24,28,11,13,-,205,0%
26,FAW,24,40,19,5,8,14,13,13,19,15,9,12,191,0%
27,AUDI,1,-,1,7,1,10,6,5,6,3,2,11,53,0%
28,HYUNDAI - HIM,-,1,-,-,-,-,-,-,-,-,-,-,1,0%
29,DATSUN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
30,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
31,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
32,CHERY,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
33,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,RENAULT,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,84149,80995,98535,82731,49710,78910,86245,96956,99986,93194,91275,105354,1048040,100%
CUMULATIVE,,84149,165144,263679,346410,396120,475030,561275,658231,758217,851411,942686,1048040,,
B.  RETAIL SALES,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"RETAIL
2022","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,22906,21187,30935,25789,18000,27385,26502,29996,31190,30217,28031,37360,329498,32.5%
2,DAIHATSU,17506,13122,16318,15401,11364,17054,16268,16551,17310,16433,15122,16211,188660,18.6%
3,HONDA,7727,8478,9554,10289,7758,10104,10523,10983,12977,11590,12137,13291,125411,12.4%
4,MITSUBISHI MOTORS,10676,9974,10592,10003,6707,7735,6030,7669,7011,6109,7361,8069,97936,9.7%
5,SUZUKI,7465,6000,7765,6508,6316,7006,6771,7816,7902,7605,8218,9695,89067,8.8%
6,MITSUBISHI FUSO,2841,2711,3092,3189,2408,3190,3125,3426,3325,3441,3671,3978,38397,3.8%
7,ISUZU,2287,2072,2767,2343,2369,3117,2854,2912,3227,3186,2929,3652,33715,3.3%
8,HYUNDAI - HMID,711,1709,1627,2202,1517,1663,2086,4102,4823,3826,2415,3512,30193,3%
9,HINO,2151,1742,2469,1327,2348,2548,2487,2771,2685,2771,3272,3309,29880,2.9%
10,WULING,2354,1278,2500,2079,804,1706,1644,2433,2485,2215,2437,2335,24270,2.4%
11,MAZDA,214,85,78,449,350,345,286,346,342,418,397,391,3701,0.4%
12,NISSAN,335,369,439,435,329,326,269,306,225,178,166,152,3529,0.3%
13,MERCEDES-BENZ PC,118,137,275,200,204,255,314,371,361,287,293,369,3184,0.3%
14,B M W,190,194,243,258,198,255,258,282,317,282,243,303,3023,0.3%
15,MERCEDES-BENZ CV,126,168,241,290,203,186,245,219,247,240,175,378,2718,0.3%
16,DFSK,219,209,216,200,178,186,231,204,207,124,176,254,2404,0.2%
17,UD TRUCKS,184,173,209,143,90,113,110,170,178,234,213,133,1950,0.2%
18,K I A,137,82,163,163,132,93,111,188,167,180,122,152,1690,0.2%
19,LEXUS,2,57,180,108,106,92,103,70,81,80,37,84,1000,0.1%
20,MORRIS GARAGE,223,76,31,23,21,51,101,125,100,39,66,103,959,0.1%
21,MINI,41,45,50,68,61,69,63,67,87,50,75,43,719,0.1%
22,PEUGEOT,50,32,65,46,46,34,40,35,40,31,14,18,451,0%
23,VOLKSWAGEN,35,21,62,20,23,29,27,38,40,29,25,28,377,0%
24,SCANIA,26,19,17,25,15,9,12,9,20,30,23,28,233,0%
25,TATA,18,9,35,46,2,4,26,25,25,12,14,-,216,0%
26,FAW,24,40,19,5,8,14,13,13,19,15,9,12,191,0%
27,SUBARU,-,-,-,-,-,-,15,31,29,26,31,20,152,0%
28,AUDI,1,-,1,7,1,10,6,5,6,3,2,11,53,0%
29,HYUNDAI - HIM,1,-,4,-,-,-,-,-,-,-,-,-,5,0%
30,DATSUN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
31,CHERY,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
32,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
33,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,RENAULT,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,78568,69989,89947,81616,61558,83579,80520,91163,95426,89651,87674,103891,1013582,100%
CUMULATIVE,,78568,148557,238504,320120,381678,465257,545777,636940,732366,822017,909691,1013582,,
C.  PRODUCTION,,,,,,,,,,,,,,,
