1.  SEDAN TYPE SALES                                                                                                              `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2019
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
SEDAN TYPE,CC < 1.500 [G/D],BMW,JA12 520I,1998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CKD,INA,1,-,-,2,-,-,1,-,-,-,-,-,0.2%,0.1%,4
,,,JR32 530I,1998,-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,-,1,-,-,-,-,-,-,-,-,-,-,0.1%,0.0%,1
,,,2Z42 I8,1499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,-,1,-,-,-,-,-,-,-,-,-,-,0.1%,0.0%,1
,,HONDA,All New City IVTEC E AT,1497,AT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,15,33,31,41,37,51,49,45,56,42,42,8,25.7%,7.0%,450
,,,All New City IVTEC ES AT,1497,AT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All New Civic,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,-,116,60,27,66,69,117,97,71,65,60,2,42.8%,11.7%,750
,,MERCEDES BENZ PC,A 200 Sedan (V177),1332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,IND,-,-,-,-,-,-,-,-,-,-,8,25,1.9%,0.5%,33
,,,CLA 200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,IND,-,-,-,-,-,-,-,-,-,-,7,1,0.5%,0.1%,8
,,TOYOTA,Limo Taxi,1500,MT,G,42,1035,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,2,0.1%,0.0%,2
,,,Vios E,1500,MT,G,42,1050,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,47,2,-,-,2,2,3,-,-,47,5.9%,1.6%,103
,,,Vios E AT,1500,AT,G,42,1055,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,4,-,-,-,-,-,-,-,-,-,-,1,0.3%,0.1%,5
,,,Vios G,1500,MT,G,42,1060,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,1,6,13,9,1,-,6,-,2.1%,0.6%,36
,,,Vios G AT,1500,AT,G,42,1080,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,36,26,50,35,19,8,41,48,4,2,66,23,20.4%,5.6%,358
,,TOTAL,,,,,,,,,,,,,,,,,,,,56,177,188,107,123,134,223,201,135,109,189,109,100%,27%,"1,751"
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,56,233,421,528,651,785,"1,008","1,209","1,344","1,453","1,642","1,751",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC 1.501 - 3.000 [G]
/ 2.500 [D]",AUDI,A4 2.0 quattro TFSI  A/T,1984,AT,G,63,1485,4436,245/40/R18,211,2808,4701 x 1826 x 1427,5,4X4,4WD,240,4,4,CBU,Germany,1,-,1,-,-,-,-,-,2,-,1,1,0.1%,0.1%,6
,,,A5 2.0 TFSI,1984,AT,G,63,1465,3778,255/35/R18,211,2810,4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,,A8L 3.0 AT,2995,AT,G,90,1995,2106,255/45 R19,290,3122,5267 x 1949 x 1471,5,4X2,FF,250,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-,0.0%,0.0%,1
,,,RS5 2.9 TFSI A/T,2900,AT,G,61,-,-,-,-,-,-,5,4X4,4WD,0,5,4,CBU,Germany,2,-,-,-,1,-,-,1,-,-,-,-,0.1%,0.1%,4
,,BMW,3F19 320i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,8A36 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,24,20,72,36,17,16,50,41,23,20,34,2,7.8%,5.5%,355
,,,8C76 320D,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,3,0.1%,0.0%,3
,,,8A96 330I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,9,7,6,12,3,3,1,2,-,2,6,-,1.1%,0.8%,51
,,,1J52 M2,2979,AT,G,52,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,6,3,-,-,-,2,-,-,-,-,0.2%,0.2%,11
,,,2U72 M2 Competition,2979,AT,G,52,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,1,2,2,2,8,7,5,4,-,0.7%,0.5%,31
,,,8M92 M3,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,1,-,-,-,-,1,-,-,0.0%,0.0%,2
,,,3R92 M4,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,4Y92 M4,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,1,-,2,2,2,-,2,-,0.2%,0.1%,9
,,,4W72 440I,2979,AT,G,-,2075,-,-,-,-,-,-,4X2,-,-,2,4,-,-,1,-,-,-,1,-,-,-,-,1,-,-,0.1%,0.0%,3
,,,HF32 Z4 SDRIVE30I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,6,2,5,-,5,-,0.4%,0.3%,18
,,,JM12 540I XDRIVE,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,JT32 530I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,2,2,3,1,-,-,0.2%,0.1%,8
,,,JA52 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,JA16 520I,2000,AT,G,60,-,-,-,-,-,-,-,4X2,FR,-,4,4,-,-,9,19,15,37,16,11,15,3,7,3,15,5,3.4%,2.4%,155
,,,JA56 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,15,11,18,14,68,19,42,8,3,1,-,-,4.4%,3.1%,199
,,,5R12 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,1,-,-,1,-,0.0%,0.0%,2
,,,JR36 530I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,-,-,-,11,8,4,15,5,0.9%,0.7%,43
,,,5Z36 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,-,-,-,-,61,39,1,24,2.7%,1.9%,125
,,,JX62 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0.0%,0.0%,2
,,,7T06 730LI,3000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,2,3,0.1%,0.1%,6
,,,5Z16 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,19,31,4,1.2%,0.8%,54
,,,JR12 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,-,-,-,-,-,-,2,-,0.0%,0.0%,2
