1   SEDAN TYPE SALES                                                                                                              `JAN DEC 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2020
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
SEDAN TYPE,CC < 1.500 [G/D],HONDA,All New  City  IVTEC E AT,1497,CVT,G,40,-,-,16 x  6J,120,2600,4442 x  1694 x  1477,5,4X2,FF,-,4,4,CBU,Thailand,25,29,14,5,-,1,5,17,16,17,15,25,15.2%,3.6%,169
,,,All New  City  IVTEC ES AT,1497,AT,G,40,-,-,16 x  6J,120,2600,4442 x  1694 x  1477,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All New  Civic,1500,CVT,G,57,1285,-,-,141,2700,4542 x  1755 x  1435,5,4X2,FF,-,4,4,CBU,Thailand,-,111,56,7,-,2,13,32,39,31,27,46,32.7%,7.7%,364
,,,All New  Civic  Prestige,1500,AT,G,57,1285,-,-,141,2700,4542 x  1755 x  1435,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,HYUNDAI - HIM,Excel III,1400,MT,G,-,-,-,-,-,-,-,-,4X2,FR,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Ioniq EV,-,AT,EV,-,1970,-,-,-,-,-,5,4X2,-,0,4,4,CBU,Korea,20,2,-,-,-,-,-,-,-,-,-,-,2.0%,0.5%,22
,,HYUNDAI - HMID,Ioniq EV  Prime,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x  1820 x  1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,-,-,-,-,-,-,5,4,5,1.3%,0.3%,14
,,,Ioniq EV  Signature,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x  1820 x  1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,-,-,-,-,-,-,29,11,5,4.0%,0.9%,45
,,MERCEDES-BENZ - PC,A  200 Sedan (V177),1332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,IND,1,9,29,2,-,2,3,7,9,4,13,-,7.1%,1.7%,79
,,,CLA  200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x  1,999 x  1430",5,4X2,FF,-,4,4,CBU,IND,-,-,-,16,29,22,8,20,10,3,1,-,9.8%,2.3%,109
