1.  SEDAN TYPE SALES                                                                                                                       `JAN-DEC 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2021
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
"SEDAN
TYPE","CC < 1.500
[G/D]",HONDA,All New City IVTEC E AT,1497,CVT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,16,19,5,-,-,-,-,-,-,-,21,9,3.7%,1.2%,70
,,,All New Civic,1500,CVT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,41,91,104,-,-,-,-,-,-,-,47,13,15.7%,5.2%,296
,,,All New Civic Prestige,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,HYUNDAI HMID,Ioniq EV Prime,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,2,2,-,3,1,11,4,2,1,1,-,-,1.4%,0.5%,27
,,,Ioniq EV Signature,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,25,51,33,32,26,19,11,1,3,-,-,-,10.7%,3.6%,201
,,HYUNDAI HIM,IONIQ EV,-,AT,EV,-,1970,-,-,-,-,-,5,4X2,-,0,4,4,CBU,Korea,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,MERCEDES BENZ PC,A 200 Sedan (V177),1332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,4,9,5,-,-,-,-,-,-,-,1,-,1.0%,0.3%,19
,,,CLA 200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,1,-,2,1,12,3,-,-,-,-,-,-,1.0%,0.3%,19
,,,AMG CLA 45 S,1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X4,AWD,-,4,4,CBU,-,-,-,-,-,1,1,-,-,-,-,-,-,0.1%,0.0%,2
,,TOYOTA,Prius,1500,AT,G,45,1420,3267,195/65 R15,73 / 5200,2700,4460X1745X1480,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,5,4,-,-,-,-,0.5%,0.2%,9
,,,Vios E,1500,MT,G,42,1050,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,30,-,-,-,-,-,4,11,-,-,-,-,2.4%,0.8%,45
,,,Vios E AT,1500,AT,G,42,1055,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Vios G,1500,MT,G,42,1060,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,13,13,-,3,-,1,5,3,2,3,1,2.3%,0.8%,44
,,,Vios G AT,1500,AT,G,42,1080,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,18,12,28,145,109,26,64,244,107,208,184,9,61.2%,20.4%,"1,154"
,,TOTAL,,,,,,,,,,,,,,,,,,,,137,197,190,181,152,60,89,267,114,211,256,32,100%,33%,"1,886"
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,137,334,524,705,857,917,"1,006","1,273","1,387","1,598","1,854","1,886",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC 1.501 - 3.000 [G]
/ 2.500 [D]",AUDI,A4 2.0 quattro TFSI  A/T,1984,AT,G,63,1485,4436,245/40/R18,211,2808,4701 x 1826 x 1427,5,4X4,4WD,240,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,A5 2.0 TFSI,1984,AT,G,63,1465,3778,255/35/R18,211,2810,4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-,0.0%,0.0%,1
,,,A5 2.0 TFSI A/T SB,1984,AT,G,54,1490,0,245/40/R18,190,2824,4757 x 1843 x 1386,5,4X2,FF,241,5,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,1,0.1%,0.0%,2
,,,A6 1.8 TFSI A/T,1800,AT,G,65,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
