1.   SEDAN TYPE PRODUCTION                                     `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2023
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDAN,CC < 1.500 [G/D],MERCEDES-BENZ PC,PT. Mercedes  Benz  Indonesia,C 200 AVA  Line (W206),"1,496",AT,G,66,-,9,-,254,-,-,4,4X2,FR,-,4,4,CKD,IND,24,36,68,40,25,-,13,11,1,-,23,-,100.0%,7.7%,241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,,,,,,,,,,,,,,,,,,,,,24,36,68,40,25,-,13,11,1,-,23,-,100%,8%,241
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,24,60,128,168,193,193,206,217,218,218,241,241,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC 1.501 - 3.000 [G],BMW,PT. Gaya Motor,320i CKD AT,"1,998",AT,G,59,"2,050",-,225/45 R18 95Y,184,"2,851",4709 x  1827 x  1435,-,4X2,FR,-,-,4,CKD,INA,5,15,7,2,40,27,4,16,27,23,24,5,6.8%,6.2%,195
,,,,320i CKD-A7 A/T,"1,998",AT,G,59,"2,070",-,225/45 R18 95Y; 255/40 R18 99Y,184,"2,851",4713 x  1827 x  1440,5,4X2,FR,-,4,4,CKD,INA,52,42,44,27,1,38,6,5,1,3,20,23,9.1%,8.4%,262
,,,,330i CKD B7 A/T,"1,998",AT,G,59,"2,050",-,225/45 R18 95Y,184,"2,851",4709 x  1827 x  1435,-,4X2,FR,-,-,4,CKD,INA,16,29,26,1,19,5,16,30,45,47,45,74,12.2%,11.3%,353
,,,,520i G30 CKD AT,"1,998",AT,G,68,"2,285",-,245/40 R19 98Y; 275/35 R19 100Y,184,"2,975",4963 x  1868 x  1479,-,4X2,FR,-,-,4,CKD,INA,1,15,57,23,2,22,16,57,47,23,1,-,9.2%,8.4%,264
,,,,530i CKD AT,"1,998",AT,G,68,"2,305",-,245/40 R19 98Y; 275/35 R19 100Y,252,"2,975",4963 x  1868 x  1479,-,4X2,FR,-,-,4,CKD,INA,21,-,3,21,3,-,20,3,2,-,-,-,2.5%,2.3%,73
,,,,735i Limousine RHD A/T,"2,998",AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,18,28,8,6,15,39,4.0%,3.6%,114
,,MERCEDES-BENZ PC,PT. Mercedes  Benz  Indonesia,A  200,"1,991",AT,G,41,"2,030",7,225/50 R17,184,"2,840","4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND,19,16,5,24,-,44,24,28,-,23,1,-,6.4%,5.9%,184
,,,,AMG A  35 4MATIC (V177),"1,556",AT,G,50,"1,920",7,225/40 R18,156,"2,669","4,669 x  2,032 x  1,427",5,4X2,FF,-,4,4,CKD,IND,-,3,-,-,23,22,18,6,1,23,2,1,3.4%,3.2%,99
,,,,E 200 AVA,"1,991",AT,G,66,"2,265",9,245/45 R18,184,"2,939","4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND,24,23,42,32,22,27,-,21,2,1,-,-,6.7%,6.2%,194
