1.  SEDAN TYPE PRODUCTION                `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,BASE,P x L x T,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDAN,CC < 1.500 [G/D],MERCEDES-BENZ PC,PT. Mercedes Benz Indonesia,C 200 AVA Line (W206),"1,496",AT,G,66,-,9,-,254,-,-,4,4X2,FR,-,4,4,CKD,IND,17,50,4,25,22,54,43,1,-,-,-,-,45.6%,8.4%,216
,,BMW,PT. Gaya Motor,218i  Gran Coupe,"1,499",AT,G,50,"1,905",-,225/45 R17 94Y,140,"2,670",4526 x 1800 x 1420,-,4X2,FF,-,-,4,CKD,INA,24,40,7,1,1,-,23,25,22,27,59,29,54.4%,10.1%,258
,,TOTAL,,,,,,,,,,,,,,,,,,,,,41,90,11,26,23,54,66,26,22,27,59,29,100%,18%,474
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,41,131,142,168,191,245,311,337,359,386,445,474,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC 1.501 - 3.000 [G],BMW,PT. Gaya Motor,320i  CKD-A7 A/T,"1,998",AT,G,59,"2,070",-,225/45 R18 95Y; 255/40 R18 99Y,184,"2,851",4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,38,18,22,22,27,25,47,24,6,23,18,6,13.2%,10.8%,276
,,,,330i  CKD B7 A/T,"1,998",AT,G,59,"2,050",-,225/45 R18 95Y,184,"2,851",4709 x 1827 x 1435,-,4X2,FR,-,-,4,CKD,INA,50,52,58,2,5,41,24,73,11,33,2,21,17.8%,14.5%,372
,,,,520i  G30 CKD AT,"1,998",AT,G,68,"2,285",-,245/40 R19 98Y; 275/35 R19 100Y,184,"2,975",4963 x 1868 x 1479,-,4X2,FR,-,-,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,,520i  G60 CKD A/T,"1,998",AT,G,60,"2,335",-,-,190,"2,995",5060 x1 900 x 1515,5,4X2,FR,-,-,4,CKD,INA,-,-,-,-,39,24,44,61,120,43,1,47,18.1%,14.8%,379
,,,,735i  Limousine RHD A/T,"2,998",AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,14,6,8,18,33,11,36,24,25,30,14,28,11.8%,9.6%,247
,,MERCEDES-BENZ PC,PT. Mercedes Benz Indonesia,A 200,"1,991",AT,G,41,"2,030",7,225/50 R17,184,"2,840","4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,24,-,22,-,1,-,1,12,8,24,3,1,4.6%,3.7%,96
,,,,AMG A 35 4MATIC (V177),"1,556",AT,G,50,"1,920",7,225/40 R18,156,"2,669","4,669 x 2,032 x 1,427",5,4X2,FF,-,4,4,CKD,IND,-,1,22,10,12,2,1,-,-,-,-,-,2.3%,1.9%,48
,,,,E 300 AMG,"1,991",AT,G,66,"2,295",9,"245/40, 275/35 R19",258,"2,939","4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,IND,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,,E 200 (W214) CKD,"1,998",AT,G,66,-,9,-,204,-,-,4,4X2,RR,-,4,4,CKD,-,-,-,-,-,-,-,-,66,69,27,6,-,8.0%,6.5%,168
,,,,E 300 (W214) CKD,"1,998",AT,G,66,-,9,-,258,-,-,4,4X2,RR,-,4,4,CKD,-,-,-,-,-,-,-,18,40,12,79,16,3,8.0%,6.5%,168
,,,,S 450,"2,996",AT,G,80,"2,700",9,"245/45, 275/40 R19",367,"3,165","5,255 x 2,130 x 1,494",5,4X2,FR,-,4,4,CKD,IND,41,7,13,8,16,3,7,-,1,-,-,-,4.6%,3.7%,96
,,,,C 300 AMG Line (W206),"1,998",AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,IND,48,23,49,35,51,6,3,23,1,1,-,-,11.5%,9.4%,240
,,TOTAL,,,,,,,,,,,,,,,,,,,,,217,107,194,95,184,112,181,323,253,260,60,106,100%,82%,"2,092"
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,217,324,518,613,797,909,"1,090","1,413","1,666","1,926","1,986","2,092",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.0%,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.0%,-
,,TOTAL,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!,0%,-
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,100%,,
SEDAN PRODUCTION TOTAL  SEDAN PRODUCTION CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,258,197,205,121,207,166,247,349,275,287,119,135,"2.566
0,2%",,
,,,,,,,,,,,,,,,,,,,,,,,258,455,660,781,988,"1,154","1,401","1,750","2,025","2,312","2,431","2,566",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4X2 TYPE PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,ASSEMBLER,MODEL/TYPE,CC,TRANS,FUEL,"KAPT.
TANG.","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS/HP,WHEEL BASE,"DIMENSION                  P x L
x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEEL,CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segmt
Share","4X2
Share",TOTAL 2024
4X2 TYPE,CC < 1.500 [G/D],DAIHATSU,PT. Astra Daihatsu Motor,All  New Xenia 1.3 M  MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,16,10,13,22,20,24,-,-,12,-,-,-,0.0%,0.0%,117
,,,,All  New Xenia 1.3 X MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,488,409,359,284,352,327,161,237,174,133,106,137,0.5%,0.4%,"3,167"
,,,,All  New Xenia 1.3 X CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,50,100,184,99,114,112,136,154,68,65,56,97,0.2%,0.2%,"1,235"
,,,,All  New Xenia 1.3 R MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,300,456,255,146,183,133,-,287,-,126,96,155,0.3%,0.3%,"2,137"
,,,,All  New Xenia 1.3 R CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,237,261,254,136,170,132,70,106,89,125,128,248,0.3%,0.2%,"1,956"
