1.   SEDAN  TYPE PRODUCTION                                   `JAN  JUL  2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2025
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDAN,CC < 1.500 [G/D],MERCEDES-BENZ PC,PT. Mercedes Benz Indonesia,C 200 AVA Line (W206),"1,496",AT,G,66,-,9,-,254,-,-,4,4X2,FR,-,4,4,CKD,IND,86,8,2,-,-,-,-,-,-,-,-,-,64.4%,6.5%,96
,,BMW,PT. Gaya Motor,218i Gran Coupe,"1,499",AT,G,50,"1,905",-,225/45 R17 94Y,140,"2,670",4526 x 1800 x 1420,-,4X2,FF,-,-,4,CKD,INA,3,1,2,-,-,-,-,-,-,-,-,-,4.0%,0.4%,6
,,,,218i Gran Coupe F74,"1,499",AT,G,49,"1,885",-,"225/40 R19 93 Y XL, 205/55 R17 91 V",150,"2,670",4546 x 1800 x 1445,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,31.5%,3.2%,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0%,-
,,TOTAL,,,,,,,,,,,,,,,,,,,,,89,9,4,-,-,-,47,-,-,-,-,-,100%,10%,149
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,89,98,102,102,102,102,149,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC 1.501 - 3.000 [G],BMW,PT. Gaya Motor,320i CKD-A7 A/T,"1,998",AT,G,59,"2,070",-,225/45 R18 95Y; 255/40 R18 99Y,184,"2,851",4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,25,70,1,2,46,13,31,-,-,-,-,-,14.3%,12.8%,188
,,,,330i CKD B7 A/T,"1,998",AT,G,59,"2,050",-,225/45 R18 95Y,184,"2,851",4709 x 1827 x 1435,-,4X2,FR,-,-,4,CKD,INA,6,47,44,5,22,1,23,-,-,-,-,-,11.2%,10.1%,148
,,,,520i G30 CKD AT,"1,998",AT,G,68,"2,285",-,245/40 R19 98Y; 275/35 R19 100Y,184,"2,975",4963 x 1868 x 1479,-,4X2,FR,-,-,4,CKD,INA,14,4,12,3,1,1,1,-,-,-,-,-,2.7%,2.5%,36
,,,,520i G60 CKD A/T,"1,998",AT,G,60,"2,335",-,-,190,"2,995",5060 x1 900 x 1515,5,4X2,FR,-,-,4,CKD,INA,39,10,3,36,56,47,3,-,-,-,-,-,14.7%,13.2%,194
,,,,735i Limousine RHD A/T,"2,998",AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,-,-,CKD,INA,114,42,41,94,3,23,5,-,-,-,-,-,24.4%,22.0%,322
,,MERCEDES-BENZ PC,PT. Mercedes Benz Indonesia,A 200,"1,991",AT,G,41,"2,030",7,225/50 R17,184,"2,840","4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,14,43,2,2,5,-,-,-,-,-,-,-,5.0%,4.5%,66
,,,,E 200 (W214) CKD,"1,998",AT,G,66,-,9,-,204,-,-,4,4X2,FR,-,4,4,CKD,IND,42,26,62,29,3,3,-,-,-,-,-,-,12.5%,11.3%,165
,,,,E 300 (W214) CKD,"1,998",AT,G,66,-,9,-,258,-,-,4,4X2,FR,-,4,4,CKD,IND,1,42,8,44,1,-,-,-,-,-,-,-,7.3%,6.5%,96
,,,,S 450,"2,996",AT,G,80,"2,700",9,"245/45, 275/40 R19",367,"3,165","5,255 x 2,130 x 1,494",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,C 300 AMG Line (W206),"1,998",AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,IND,2,24,5,8,32,31,-,-,-,-,-,-,7.7%,7.0%,102
,,TOTAL,,,,,,,,,,,,,,,,,,,,,257,308,178,223,169,119,63,-,-,-,-,-,100%,90%,"1,317"
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,257,565,743,966,"1,135","1,254","1,317",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.0%,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.0%,-
,,TOTAL,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!,0%,-
,,CUMMULATIVE,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,100%,,
SEDAN PRODUCTION TOTAL SEDAN PRODUCTION CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,346,317,182,223,169,119,110,-,-,-,-,-,"1.466
0,2%",,
,,,,,,,,,,,,,,,,,,,,,,,346,663,845,"1,068","1,237","1,356","1,466",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4X2 TYPE PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,ASSEMBLER,MODEL/TYPE,CC,TRANS,FUEL,"KAPT.
TANG.","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS/HP,WHEEL BASE,DIMENSION                P x L x T,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEEL,CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segmt
Share","4X2
Share","TOTAL
2025"
4X2 TYPE,CC < 1.500 [G/D],DAIHATSU,PT. Astra Daihatsu Motor,All New Xenia 1.3 M MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,All New Xenia 1.3 X MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,75,386,302,-,68,64,83,-,-,-,-,-,0.3%,0.2%,978
,,,,All New Xenia 1.3 X CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,48,233,113,-,21,41,70,-,-,-,-,-,0.1%,0.1%,526
,,,,All New Xenia 1.3 R MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,50,358,266,-,90,50,86,-,-,-,-,-,0.2%,0.2%,900
,,,,All New Xenia 1.3 R CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,88,350,241,-,26,23,32,-,-,-,-,-,0.2%,0.2%,760
,,,,All New Xenia 1.5 R MT,"1,496",MT,G,43,"1,705","5,077",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,All New Xenia 1.5 R CVT,"1,496",AT,G,43,"1,705","5,105",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,39,96,80,-,52,21,40,-,-,-,-,-,0.1%,0.1%,328
,,,,All New Xenia 1.5 R ASA CVT,"1,496",AT,G,43,"1,705","5,105",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,Rocky 1.0 R ASA CVT,998,AT,G,36,"1,680","5,105",205/60/R17,98,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,,Rocky 1.0 R CVT,998,AT,G,36,"1,680","5,105",205/60/R17,98,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,15,15,20,15,17,5,18,-,-,-,-,-,0.0%,0.0%,105
,,,,Rocky 1.0 R MT,998,MT,G,36,"1,680","5,462",205/60/R17,98,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,,Rocky 1.2 X CVT,"1,200",AT,G,36,"1,680","5,105",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,285,336,213,147,107,33,73,-,-,-,-,-,0.3%,0.3%,"1,194"
,,,,Rocky 1.2 X MT,"1,200",MT,G,36,"1,680","5,462",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,94,88,73,69,39,14,18,-,-,-,-,-,0.1%,0.1%,395
,,,,Rocky 1.2 M CVT,"1,200",AT,G,36,"1,680","5,105",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,12,-,-,-,-,-,-,-,-,0.0%,0.0%,12
,,,,Rocky 1.2 M MT,"1,200",MT,G,36,"1,680","5,462",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,24,-,-,-,-,-,-,-,-,0.0%,0.0%,24
,,,,Luxio 1.5 D (New),"1,495",MT,G,43,"1,290","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,14,55,34,61,57,47,52,-,-,-,-,-,0.1%,0.1%,320
,,,,Luxio 1.5 X MT  (New),"1,298",MT,G,45,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,23,97,62,145,86,92,107,-,-,-,-,-,0.2%,0.1%,612
,,,,Luxio 1.5 X AT  (New),"1,495",AT,G,43,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,10,60,54,70,72,72,67,-,-,-,-,-,0.1%,0.1%,405
,,,,Luxio 1.5 AK MT,"1,495",MT,G,43,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,2,4X2,FR,-,5,4,CKD,INA,2,17,4,4,5,4,5,-,-,-,-,-,0.0%,0.0%,41
,,,,All New Terios Ids X Mt (Mc 2023),"1,496",MT,G,45,"1,870","5,571",215/65/R16,104,"2,685",4455X1695X1705,7,4X2,FR,-,5,4,CKD,INA,547,"1,001","1,133",333,893,594,662,-,-,-,-,-,1.4%,1.1%,"5,163"
