NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
#     CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT. TOYOTA  MOTOR MFG INDONESIA,TOYOTA,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Myanmar,-,-,-,-,-,-,-,1,-,-,-,-,1
,,,Avanza Veloz,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Philippines,-,-,-,-,-,-,-,942,"1,135","3,172",441,975,"6,665"
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Bahrain,34,46,43,26,21,17,14,19,17,25,16,22,300
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Bangladesh,-,5,-,-,19,-,7,-,-,-,-,-,31
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Bolivia,-,-,-,17,18,10,-,17,10,6,1,-,79
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Brunei Darussalam,71,54,31,25,48,32,12,59,44,59,82,60,577
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Cambodia,-,-,-,-,-,-,-,-,-,-,3,-,3
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Costa Rica,17,24,3,4,7,6,2,-,-,-,-,1,64
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Guatemala,2,8,8,5,1,1,1,-,-,-,-,-,26
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Kuw ait,173,185,152,134,158,144,126,176,182,65,106,70,"1,671"
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Lebanon,16,9,34,30,32,12,15,2,2,7,7,7,173
,,,Avanza Veloz,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Mexico,"1,080","1,115","1,712","1,430","1,210",587,570,734,606,811,"1,647",281,"11,783"
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Oman,23,41,28,10,-,-,7,8,42,43,50,19,271
,,,Avanza Veloz,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Peru,161,533,265,65,-,-,-,14,131,203,132,578,"2,082"
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Philippines,"2,458","3,197","3,290","1,662","2,872",632,138,734,"1,573",-,"1,631","1,396","19,583"
,,,Avanza Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CBU,Qatar,74,108,37,7,43,20,11,15,16,32,20,26,409
