NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,PT. TOYOTA MOTOR MFG INDONESIA,TOYOTA,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,-,-,-,-,-,-,-,-,-,-,-,8,8
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bangladesh,-,7,4,228,-,-,2,14,11,10,27,25,328
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,-,39,-,8,44,84,16,28,25,13,77,334
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Costa Rica,-,8,9,-,1,11,8,14,21,55,9,20,156
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Guatemala,1,4,5,651,-,1,1,1,1,17,-,1,683
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Guatemala,-,-,-,-,-,-,1,-,1,3,-,1,6
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,-,-,-,-,-,-,-,110,110
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Mexico,158,-,875,433,280,350,414,203,903,911,528,523,"5,578"
,,,,Avanza,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Mexico,-,"1,104",763,2,187,235,275,136,614,593,354,346,"4,609"
