NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD
/ COMP","DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT. TOYOTA MOTOR MFG INDONESIA,TOYOTA,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bahrain,-,-,-,-,-,-,-,,,,,,-
,,,Avanza,"1,500",CVT,G,,,,,,,,,4X2,,,5,4,CBU,Bangladesh,-,2,-,-,-,-,-,,,,,,2
,,,Avanza,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bolivia,-,-,-,-,-,-,-,,,,,,-
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,-,30,-,-,-,-,-,,,,,,30
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Cambodia,-,35,249,-,-,-,-,,,,,,284
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Costa Rica,-,2,-,-,-,-,-,,,,,,2
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Jamaica,-,-,314,-,-,-,-,,,,,,314
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Grand Cayman,-,-,1,-,-,-,-,,,,,,1
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Kuwait,-,-,"1,262",-,-,-,-,,,,,,"1,262"
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Mexico,-,525,180,-,-,-,-,,,,,,705
,,,Avanza,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Mexico,-,281,-,118,462,384,453,,,,,,"1,698"
,,,Avanza,"1,300",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Myanmar,1,-,-,-,1,1,-,,,,,,3
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Peru,-,-,-,-,-,-,-,,,,,,-
,,,Avanza,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Peru,-,-,-,524,361,102,572,,,,,,"1,559"
,,,Avanza,"1,300",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,"1,166","1,389",-,786,-,"1,585","1,756",,,,,,"6,682"
,,,Avanza,"1,300",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,512,345,408,271,"2,037",319,427,,,,,,"4,319"
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,292,"1,352","1,728",295,406,229,324,,,,,,"4,626"
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Qatar,-,-,-,-,-,-,-,,,,,,-
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Saudi Arabia,-,-,120,-,-,-,-,,,,,,120
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UAE,-,-,-,-,-,-,-,,,,,,-
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Vietnam,-,-,138,-,-,-,-,,,,,,138
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Vietnam,-,-,760,-,-,-,-,,,,,,760
,,,Avanza,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Yemen,-,-,-,-,-,-,-,,,,,,-
