GAIKINDO IMPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,,IMPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,W HEEL &,PS/HP,W HEEL,DIMENSI ON,SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD / COMP,ORIGIN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,,(AT/MT),(G/D),CAPT,(Kg),RATIO,TYRE SIZE,,BASE,P x L x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
1,CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,PT. HONDA PROSPECT MOTOR,HONDA,All New City E,1497,MT,G,42,1045,-,16 x 6J,120,2600,4442 x 1694 x 1477,-,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,All New City E  AT,1497,AT,G,42,1075,-,16 x 6J,120,2600,4442 x 1694 x 1477,-,4X2,FF,-,4,4,CBU,Thailand,30,60,-,30,90,-,90,30,60,30,30,-,450
,,,,All New City ES,1497,AT,G,40,1075,-,16 x 6J,120,2600,4442 x 1694 x 1477,-,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,All New Civic 1.5 AT,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,-,4X2,FF,-,4,4,CBU,Thailand,-,200,10,-,60,90,120,90,60,60,90,-,780
,,,,All New Civic Prestige,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,New ACCORD VTi-L,2354,AT,G,65,1075,-,-,176,2275,4870 x 1850 x 1465,-,4X2,FF,-,4,4,CBU,Thailand,-,1,1,-,-,90,58,89,31,60,30,-,360
