NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL  &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI  ON
P x L  x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  /  CKD  / COMP,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU  IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT.  HONDA PROSPECT MOTOR,HONDA,All New City   E   CVT,1497,CVT,G,42,1075,-,16 x  6J,120,2600,4442 x  1694 x  1477,-,4X2,FF,-,4,4,CBU,Thailand,29,30,30,30,-,-,31,30,30,-,-,-,210
,,,All New Civ ic  1.5 CVT,1500,CVT,G,57,1285,-,-,141,2700,4542 x  1755 x  1435,-,4X2,FF,-,4,4,CBU,Thailand,-,120,120,30,-,-,60,60,89,61,60,-,600
,,,New ACCORD  VTi-L,2354,CVT,G,65,1075,-,-,176,2275,4870 x  1850 x  1465,-,4X2,FF,-,4,4,CBU,Thailand,30,-,60,-,-,118,60,60,-,58,-,-,386
,,,CIVIC  5D  E,2400,CVT,G,65,1322,-,17 x  7J,-,2700,4501 x  2075 x  1421,-,4X2,FF,-,5,4,CBU,Thailand,120,120,150,60,-,120,60,90,180,180,90,-,"1,170"
,,,Odissey  Prestige,2400,CVT,G,55,1855,-,17 x  7J,175,2900,4830 x  1820 x  1695,-,4X2,FF,-,5,4,CBU,Japan,-,35,23,41,11,-,-,-,2,8,-,-,120
,,,TOTAL,,,,,,,,,,,,,,,,,,,179,305,383,161,11,238,211,240,301,307,150,-,"2,486"
2,PT.  TOYOTA ASTRA MOTOR,TOYOTA,All New Corolla Altis  G AT,1798,AT,G,55,1270,5.356,21545R17,151 /  6400,2700,4620X1776X1460,5,4X2,FF,6,4,4,CBU,Thailand,1,2,1,-,-,4,91,16,2,-,-,-,117
,,,All New Corolla Altis  V AT,1798,AT,G,55,1270,5.356,21545R17,151 /  6400,2700,4620X1776X1460,5,4X2,FF,6,4,4,CBU,Thailand,48,36,34,19,2,44,48,4,80,74,74,39,502
,,,All New Corolla Altis  Hy brid AT,1798,AT,HY BRID,55,1270,5.356,21545R17,151 /  6400,2700,4620X1776X1460,5,4X2,FF,6,4,4,CBU,Thailand,7,12,-,-,-,5,4,-,1,4,6,2,41
