NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT. HONDA PROSPECT MOTOR,HONDA,ALL NEW CITY,1.5,CVT,G,40,-,-,16 x 6J,120,"2,600",4442 x 1694 x 1477,-,4X2,FF,-,4,4,CBU,Thailand,60,240,30,60,-,30,60,90,30,-,28,2,630
,,,ALL NEW CIVIC,1.5,CVT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Thailand,90,180,60,60,-,-,90,-,90,-,-,60,630
,,,CIVIC TYPE R,2.0,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New ACCORD VTi-L,1.5,CVT,G,56,"1,560",-,-,190,"2,830",4894 x 1862 x 1450,-,4X2,FF,-,4,4,CBU,Thailand,60,60,30,-,30,29,-,60,-,-,30,-,299
,,,TOTAL,,,,,,,,,,,,,,,,,,,210,480,120,120,30,59,150,150,120,-,58,62,"1,559"
2,PT. TOYOTA ASTRA MOTOR,TOYOTA,VIOS 1.5 E A/T FMC,"1,497",MT,G,42,"1,080",1,195/50 R16,109 / 6000,"2,550",4410X1700X1475,5,4X2,FF,5,4,4,CBU,Thailand,-,-,-,-,-,1,-,-,-,-,-,-,1
,,,VIOS 1.5 G A/T FMC,"1,497",AT,G,42,"1,080",1,195/50 R16,109 / 6000,"2,550",4410X1700X1475,5,4X2,FF,5,4,4,CBU,Thailand,-,-,-,-,1,1,-,-,-,-,59,41,102
,,,All New Corolla Altis 1.8 V A/T,"1,798",AT,G,55,"1,270",5,21545R17,151 / 6400,"2,700",4620X1776X1460,5,4X2,FR,6,4,4,CBU,Thailand,53,41,24,12,43,28,22,30,220,243,100,34,850
,,,All New Corolla Altis 1.8 Hybrid A/T,"1,798",AT,G,55,"1,270",5,21545R17,151 / 6400,"2,700",4620X1776X1460,5,4X2,FR,6,4,4,CBU,Thailand,12,17,24,6,18,6,31,15,14,17,23,7,190
,,,All New Camry 2.5 G 2019,"2,497",AT,G,70,"1,465","3,815",215/60R16,181 / 6000,"2,775",4825X1825X1470,5,4X2,FR,5,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,All New Camry 2.5 V 2019,"2,497",AT,G,70,"1,465","3,815",215/55R17,181 / 6000,"2,775",4825X1825X1470,5,4X2,FR,5,4,4,CBU,Thailand,57,72,78,9,33,50,95,84,132,107,115,37,869
,,,All New Camry 2.5 Hybrid 2019,"2,494",AT,G,65,"1,625","3,542",215/55R17,156.6 /5700,"2,775",4825X1825X1470,5,4X2,FR,5,4,4,CBU,Thailand,34,54,54,6,21,7,18,6,3,17,40,13,273
,,,GR 86 A/T,"1,998",AT,G,50,-,-,215/45/R17,147 / 6.800,"2,570",4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,-,1,-,-,2,9,5,7,5,29
,,,Supra 3.0 A/T,"2,998",AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,2,-,-,-,-,-,-,-,1,-,4,-,7
,,,Voxy 2.0 A/T,"1,987",A/T,G,60,"2,205",-,205/60 R16,158 / 6200,-,4600X1695X1850,7,4X2,FR,5,5,4,CBU,Japan,92,302,368,113,82,186,387,134,171,169,147,417,"2,568"
,,,Alphard 2.5 G,"2,494",AT,G,65,"1,920","5,791",215/60/R17,170 / 6000,"2,950",4870X1830X1905,7,4X2,FR,5,5,4,CBU,Japan,-,13,415,585,266,355,853,626,484,486,330,580,"4,993"
,,,Alphard 2.5 X,"2,494",AT,G,65,"1,905","5,791",215/60/R17,170 / 6000,"2,950",4870X1830X1905,7,4X2,FR,5,5,4,CBU,Japan,-,-,3,2,-,-,-,7,-,13,32,-,57
,,,Alphard 3.5,"3,456",AT,G,65,"1,905","5,791",215/60/R17,170 / 6000,"2,950",4870X1830X1905,7,4X2,FR,5,5,4,CBU,Japan,-,-,6,8,-,-,-,-,-,-,2,-,16
,,,Vellfire 2.5,"2,494",AT,G,65,"1,905","5,791",215/60/R17,170 / 6000,"2,950",4870X1830X1905,7,4X2,FR,5,5,4,CBU,Japan,-,1,46,35,11,24,45,44,38,32,31,17,324
,,,C-Hr 1.8 A/T,"1,798",AT,G,50,-,-,215 / 60 R17,141 / 6400,"2,640",4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,C-Hr 1.8 A/T Hybrid,"1,798",AT,HYBRID,50,-,-,215 / 60 R17,141 / 6400,"2,640",4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,-,-,-,-,2,5,12,11,14,13,23,-,80
,,,Corolla Cross 1.8 A/T,"1,798",AT,G,50,-,-,215 / 60 R17,141 / 6400,"2,640",4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Corolla Cross 1.8 A/T Hybrid,"1,798",AT,HYBRID,50,-,-,215 / 60 R17,141 / 6400,"2,640",4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,98,167,66,40,151,97,93,43,58,42,96,37,988
,,,Corolla Cross 1.8 A/T Hybrid GR Sport,"1,798",AT,HYBRID,50,-,-,215 / 60 R17,141 / 6400,"2,640",4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,1,-,-,1
,,,Land Cruiser 300 GR-S,"4,461",AT,D,-,-,-,-,-,-,-,7,4X4,FR,5,5,4,CBU,Japan,21,8,10,7,6,7,13,-,2,7,11,12,104
,,,Land Cruiser 300 VXR,"4,461",AT,D,-,-,-,-,-,-,-,7,4X4,FR,5,5,4,CBU,Japan,-,-,5,17,9,15,18,-,13,23,16,12,128
,,,Land Cruiser 300 ZX,"4,461",AT,D,-,-,-,-,-,-,-,7,4X4,FR,5,5,4,CBU,Japan,17,9,22,-,-,-,-,-,-,-,-,-,48
,,,LAND CRUISER 70,"4,461",AT,D,-,-,-,-,-,-,-,7,4X4,AWD,5,5,4,CBU,Japan,-,-,-,-,-,4,7,126,-,-,2,-,139
,,,COMS EV,-,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,C+POD EV,-,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,-,-,12,-,-,-,-,-,-,-,-,-,12
,,,BZ4X EV,-,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,-,-,-,2,35,21,1,-,-,3,3,-,65
,,,Gr Yaris 1.6,"1,618",MT,G,42,"1,075","4,237",225/40R18,261 / 6500,"2,560","3,995X1,805X1,455",5,4X2,FR,4,5,4,CBU,Japan,14,2,12,8,-,-,-,-,-,-,-,-,36
,,,Hi-Ace Commuter Hi Grade,"2,494",MT,D,70,"2,145",-,195/R15,102 / 3600,"3,110",5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,15,61,90,47,59,158,159,89,115,158,175,70,"1,196"
,,,Hi-Ace Std,"2,494",MT,D,70,"2,145",-,195/R15,102 / 3600,"3,110",5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Hi-Ace 2.8 Premio,"2,755",MT,D,70,"2,145",-,195/R15,102 / 3600,"3,110",5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,33,135,114,19,25,92,59,100,142,157,215,42,"1,133"
,,,Hilux 2.0 P/U Scab,"1,998",M/T,D,65,"1,265",-,205 / 70 R15,136 / 5600,"2,750",4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,124,210,132,82,216,60,128,82,98,85,315,216,"1,748"
