1.  SEDAN TYPE SALES                                                                                                                            `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2018
,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,,,
SEDAN TYPE,CC < 1.500 [G/D],DAIHATSU,Copen,658,MT,G,-,-,-,-,-,-,-,2,4X2,-,-,2,4,CBU,-,-,-,-,-,-,-,-,1,-,-,-,-,0%,0%,1
,,,Copen,658,AT,G,-,-,-,-,-,-,-,2,4X2,-,-,2,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,HONDA,All New City IVTEC E,1497,MT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,All New City IVTEC E AT,1497,AT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,140,150,28,46,34,89,50,63,27,31,45,17,22.2%,10.7%,720
,,,All New City IVTEC ES AT,1497,AT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,All New Civic,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,141,171,208,83,83,32,104,56,126,66,70,60,37.1%,17.9%,1200
,,,All New Civic Prestige,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,56,57,6,101,49,30,80,18,75,48,64,16,18.5%,8.9%,600
,,PROTON,Saga FL,1300,MT,G,-,1215,-,185/60 R 14,94,2465,4257x 1680x 1502,5,4X2,FR,-,4,4,CBU,Malaysia,-,-,-,-,-,-,-,-,-,-,1,-,0%,0%,1
,,TOYOTA,Prius,1500,AT,G,45,1420,3267,195/65 R15,73 / 5200,2700,4460X1745X1480,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,12,0.4%,0.2%,12
,,,Limo Taxi,1500,MT,G,42,1035,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,Vios E,1500,MT,G,42,1050,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,4,39,-,-,-,1,3,3,3,1.6%,0.8%,53
,,,Vios E AT,1500,AT,G,42,1055,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,5,1,-,1,2,-,-,-,16,0.8%,0.4%,25
,,,Vios G,1500,MT,G,42,1060,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,43,12,13,6,2,-,-,-,4,2.5%,1.2%,80
