1   SEDAN TYPE SALES                                                                                                                                         `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2023
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
SEDAN TYPE,CC < 1.500 [G/D],HONDA,All  New City,1497,CVT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,13,49,42,51,25,-,-,-,-,82,34,4,8.7%,3.1%,300
,,,All  New Civic,1500,CVT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,17,172,104,62,117,92,94,98,75,87,172,109,34.9%,12.5%,1199
,,BMW,i7 xDrive60 Limousine RHD AT,-,AT,BEV,-,3250,-,55/45 R20 105Y; 285/40 R20 10,544,3215,5181 x 2000 x 1835,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,62,28,29,15,3.9%,1.4%,134
,,,CBU i4 eDrive35 Gran Coupe AT,-,AT,BEV,-,2545,-,245/40 R19 98Y; 255/40 R19 100,286,2856,4.783 x 1.882 x 1.44,5,4X2,RR,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,HYUNDAI HMID,Ioniq EV Prime,-,AT,BEV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,-,-,-,-,-,4,3,-,0.2%,0.1%,7
,,,Ioniq EV Signature,-,AT,BEV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,-,-,-,-,-,3,-,-,0.1%,0%,3
,,,Ioniq 6,-,AT,BEV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,-,-,93,61,10,74,22,3,7.7%,2.7%,263
,,,Genesis G80 EV,-,AT,BEV,-,2265,-,245/45/R19,-,3010,5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,1,-,-,-,-,4,-,11,0.5%,0.2%,16
,,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,4,1,14,4,-,7,-,2,-,19,2,1,1.6%,0.6%,54
,,,AMG CLA 45 S (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X4,AWD,-,4,4,CBU,-,2,1,6,3,1,-,2,1,1,2,12,-,0.9%,0.3%,31
