1    SEDAN TYPE SALES                                                                                                             `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2.024
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
SEDAN TYPE,CC < 1.500 [G/D],HONDA,All  New City,1.497,CVT,G,40,-,-,16 x 6J,120,2.6,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,13,3,14,-,-,-,-,-,1,-,-,-,0%,0%,31
,,,All  New Civic,1.5,CVT,G,57,1.285,-,-,141,2.7,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,59,90,108,54,55,56,49,60,51,9,-,38,10%,6%,629
,,AION,AION ES,-,AT,BEV,-,-,-,-,-,-,-,-,-,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,BMW,i7 xDrive60 Limousine RHD AT,-,AT,BEV,-,3.25,-,255/45 R20 105Y; 285/40 R20 108Y,544,3.215,5181 x 2000 x 1835,-,4X4,4WD,-,-,4,CBU,Germany,5,3,24,17,24,11,7,4,3,3,16,10,2%,1%,127
,,,CBU i4 eDrive35 Gran Coupe AT,-,AT,BEV,-,2.545,-,245/40 R19 98Y; 255/40 R19 100Y,286,2.856,4.783 x 1.882 x 1.44,5,4X2,RR,-,5,4,CBU,Germany,-,-,4,1,3,-,1,-,4,6,-,-,0%,0%,19
,,BYD,Seal  Premium  Extended Range,-,-,BEV,-,2,-,"19""Alloy 235/45 R19",-,2.92,4800X1875X1460,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,233,745,847,339,297,555,109,49%,30%,3.125
,,,Seal  Performance,-,-,BEV,-,2,-,"19""Alloy 235/45 R19",-,2.92,4800X1875X1460,5,4X4,AWD,-,5,4,CBU,CHINA,-,-,-,-,-,466,545,404,152,36,82,18,27%,16%,1.703
,,HYUNDAI HMID,Ioniq 6,-,AT,BEV,-,1.97,-,205/60/R16,-,2.7,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,7,3,1,2,1,6,8,3,8,4,3,-,1%,0%,46
,,,Genesis G80,-,AT,BEV,-,2.265,-,245/45/R19,-,3.01,5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Kore,1,-,-,1,-,-,-,-,-,-,-,1,0%,0%,3
,,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1.332,AT,G,43,1.95,7,225/45 R18,163,2.729,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,8,1,-,-,5,10,10,1,4,9,1,4,1%,1%,53
